cv_acc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_f1,is_normalized
0.6974999999999999,0.594139470590736,columbia-train,meansvm,96.0,1e-06,,RhythmData,0.375,0.0,0
0.9683333333333332,0.9667061351676756,columbia-train,simple_cnn,,,True,RhythmData,0.975,0.975609756097561,0
0.9399999976158142,0.9400923931598664,columbia-train,simple_cnn,,,,RhythmData,0.975,0.9714285612106324,0
0.8791666666666664,0.8701056272350178,columbia-train,linear,,,True,RhythmData,0.975,0.975609756097561,0
0.928333333333333,0.9231889871385012,columbia-train,meansvm,96.0,1e-06,,MIRData,0.825,0.8205128205128205,0
0.8858333333333336,0.8125702978106277,columbia-train,simple_cnn,,,True,MIRData,0.95,0.9523809523809524,0
0.7941666686534882,0.7278923350572586,columbia-train,simple_cnn,,,,MIRData,0.95,0.9535353302955628,0
0.8575000000000002,0.8079929786223328,columbia-train,linear,,,True,MIRData,0.825,0.8444444444444444,0
0.4483333333333333,0.3738302090963284,columbia-train,meansvm,96.0,1e-06,,SpectroData,0.9,0.8947368421052632,0
0.99,0.9886923501515368,columbia-train,simple_cnn,,,True,SpectroData,0.925,0.9268292682926828,0
0.9833333301544188,0.9826332712173462,columbia-train,simple_cnn,,,,SpectroData,0.925,0.9129411220550536,0
0.9658333333333334,0.9636413193285098,columbia-train,linear,,,True,SpectroData,0.9,0.9,0
0.4348923076923078,0.3239330431211235,GTZAN,meansvm,96.0,1e-06,,RhythmData,0.725,0.6857142857142857,0
0.9313846153846153,0.9287939410300288,GTZAN,simple_cnn,,,True,RhythmData,0.975,0.975609756097561,0
0.9062769162654876,0.9064213240146636,GTZAN,simple_cnn,,,,RhythmData,0.925,0.9269840955734252,0
0.8366769230769232,0.8274227617870535,GTZAN,linear,,,True,RhythmData,0.975,0.975609756097561,0
0.8234769230769231,0.8119605888074469,GTZAN,meansvm,96.0,1e-06,,MIRData,0.875,0.8780487804878048,0
0.7991384615384614,0.7402988925169197,GTZAN,simple_cnn,,,True,MIRData,0.95,0.9523809523809524,0
0.7568307703733445,0.7488987642526627,GTZAN,simple_cnn,,,,MIRData,0.95,0.9535353302955628,0
0.7677538461538458,0.7059493000373167,GTZAN,linear,,,True,MIRData,0.925,0.9268292682926828,0
0.4612307692307692,0.31177020790643084,GTZAN,meansvm,96.0,1e-06,,SpectroData,0.875,0.8837209302325583,0
0.9133538461538464,0.9061719665374652,GTZAN,simple_cnn,,,True,SpectroData,0.9,0.9090909090909092,0
0.8901230669021607,0.8820164668560028,GTZAN,simple_cnn,,,,SpectroData,0.95,0.955555534362793,0
0.8623076923076922,0.8534501463472536,GTZAN,linear,,,True,SpectroData,0.825,0.8372093023255814,0
